,dataset,data,n_mics,target,thr_smpl,mean_f,mean_p,mean_r,mean_e
204,011111,synt,4.0,3.0,1.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.5372274615287397
205,011111,synt,4.0,3.0,3.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6061181608931215
206,011111,synt,4.0,3.0,5.0,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.6061181608931215
207,011111,real,4.0,3.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.358443841771134
208,011111,real,4.0,3.0,3.0,0.17857142857142855,0.17857142857142855,0.17857142857142855,1.1611211622875224
209,011111,real,4.0,3.0,5.0,0.21428571428571425,0.21428571428571425,0.21428571428571425,1.73517606547741
210,011111,synt,6.0,3.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.32081331343552777
211,011111,synt,6.0,3.0,3.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.996272841197141
212,011111,synt,6.0,3.0,5.0,0.26190476190476186,0.26190476190476186,0.26190476190476186,1.5864142891530075
213,011111,real,6.0,3.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.46411484117428853
214,011111,real,6.0,3.0,3.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,1.4707007131732621
215,011111,real,6.0,3.0,5.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,1.823731009285628
